ID,Migratory route codes,English Name,Migration end year,GPS_xx,GPS_yy
1.0,1.0,Osprey,2001.0,-120.5538947,43.93789206
2.0,1.0,Osprey,2001.0,-119.6076352,37.24501172
3.0,1.0,Osprey,2001.0,-111.6640544,34.29374124
4.0,1.0,Osprey,2001.0,-110.7613656,29.68339944
5.0,1.0,Osprey,2001.0,-107.4926632,24.99255151
6.0,1.0,Osprey,2001.0,-104.8564226,21.78154128
7.0,1.0,Osprey,2001.0,-103.6273483,20.55774894
8.0,1.0,Osprey,2001.0,-101.8845218,19.19943009
9.0,1.0,Osprey,2001.0,-99.87815075,17.66564879
10.0,2.0,Osprey,2001.0,-120.5538947,43.93789206
11.0,2.0,Osprey,2001.0,-114.6594044,44.38953213
12.0,2.0,Osprey,2001.0,-116.6555125,39.35699458
13.0,2.0,Osprey,2001.0,-111.6783642,39.32479422
14.0,2.0,Osprey,2001.0,-111.6640544,34.29374124
15.0,2.0,Osprey,2001.0,-106.4540013,28.81823836
16.0,2.0,Osprey,2001.0,-102.0967673,27.28552926
17.0,2.0,Osprey,2001.0,-99.99729444,25.58009087
18.0,2.0,Osprey,2001.0,-98.67234051,24.30216879
19.0,3.0,Osprey,2001.0,-93.5001804,42.07607869
20.0,3.0,Osprey,2001.0,-92.47777355,38.36749387
21.0,3.0,Osprey,2001.0,-97.50763169,35.5836666
22.0,3.0,Osprey,2001.0,-99.35798439,31.49105418
23.0,3.0,Osprey,2001.0,-98.67234051,24.30216879
24.0,3.0,Osprey,2001.0,-96.37867841,19.35365316
25.0,3.0,Osprey,2001.0,-92.4753921,16.49085817
26.0,3.0,Osprey,2001.0,-90.01503003,16.97356742
27.0,3.0,Osprey,2001.0,-89.03859295,15.55097289
28.0,3.0,Osprey,2001.0,-88.34704918,15.08669493
29.0,3.0,Osprey,2001.0,-87.99667906,15.39658769
30.0,3.0,Osprey,2001.0,-87.20288078,15.30052349
31.0,3.0,Osprey,2001.0,-87.64010597,14.61296663
32.0,3.0,Osprey,2001.0,-87.18812587,14.28352027
33.0,3.0,Osprey,2001.0,-85.93681989,14.8300544
34.0,3.0,Osprey,2001.0,-86.48299852,14.01655548
35.0,3.0,Osprey,2001.0,-86.21744575,13.7409906
36.0,3.0,Osprey,2001.0,-85.52308871,13.73866574
37.0,3.0,Osprey,2001.0,-85.51450378,12.93447166
38.0,3.0,Osprey,2001.0,-85.51786904,12.45534026
39.0,3.0,Osprey,2001.0,-84.22142469,12.32471327
40.0,3.0,Osprey,2001.0,-84.48220647,11.24161599
41.0,3.0,Osprey,2001.0,-84.61024521,10.56323002
42.0,3.0,Osprey,2001.0,-83.68154227,9.818676779
43.0,3.0,Osprey,2001.0,-83.3455817,9.949288687
44.0,3.0,Osprey,2001.0,-82.57931628,9.214783258
45.0,3.0,Osprey,2001.0,-81.77034764,8.658102487
46.0,3.0,Osprey,2001.0,-81.13151401,8.091252215
47.0,3.0,Osprey,2001.0,-80.42621768,8.557446028
48.0,3.0,Osprey,2001.0,-79.90446593,8.824692052
49.0,3.0,Osprey,2001.0,-78.85174438,9.066192179
50.0,3.0,Osprey,2001.0,-77.9158002,8.170134327
51.0,3.0,Osprey,2001.0,-76.97111851,5.98735733
52.0,3.0,Osprey,2001.0,-75.59169707,6.910416654
53.0,3.0,Osprey,2001.0,-75.79959845,8.350557368
54.0,3.0,Osprey,2001.0,-75.12276568,9.062981554
55.0,3.0,Osprey,2001.0,-74.51445709,8.712907318
56.0,3.0,Osprey,2001.0,-73.53626458,9.518462085
57.0,3.0,Osprey,2001.0,-73.51501539,6.675394056
58.0,3.0,Osprey,2001.0,-74.12572228,4.764670346
59.0,3.0,Osprey,2001.0,-75.26617093,4.044151881
60.0,3.0,Osprey,2001.0,-75.63988671,2.539039074
61.0,4.0,Osprey,2001.0,-93.5001804,42.07607869
62.0,4.0,Osprey,2001.0,-92.47777355,38.36749387
63.0,4.0,Osprey,2001.0,-92.43950903,34.89916261
64.0,4.0,Osprey,2001.0,-92.01170347,31.0775426
65.0,4.0,Osprey,2001.0,-88.92563223,20.78030736
66.0,4.0,Osprey,2001.0,-90.30709771,18.82885795
67.0,4.0,Osprey,2001.0,-90.01503003,16.97356742
68.0,5.0,Osprey,2001.0,-93.5001804,42.07607869
69.0,5.0,Osprey,2001.0,-89.14846358,40.1249162
70.0,5.0,Osprey,2001.0,-86.28188618,39.91942126
71.0,5.0,Osprey,2001.0,-85.2891026,37.52685168
72.0,5.0,Osprey,2001.0,-86.34243191,35.84419441
73.0,5.0,Osprey,2001.0,-83.45075937,32.65158309
74.0,5.0,Osprey,2001.0,-82.48494221,28.64073058
75.0,5.0,Osprey,2001.0,-77.8689359,21.3753452
76.0,5.0,Osprey,2001.0,-77.01641517,21.00333165
77.0,5.0,Osprey,2001.0,-75.90046634,20.7663889
78.0,5.0,Osprey,2001.0,-74.88708624,20.22293164
79.0,5.0,Osprey,2001.0,-73.03692965,19.82121744
80.0,5.0,Osprey,2001.0,-72.29704524,19.60002971
